Name,Files
pkumar15/Getting-and-Cleaning-Data-Programming-Assignment,"['CodeBook.md', 'README.md', 'output.txt', 'run_analysis.R']"
boryanakis/python-data-visualization-course,"['.gitignore', 'README.md', 'Section 2 - Basics of data visualization', 'Section 3 - Data visualization in Python - matplotlib']"
gamer7569/bootstrap-sass,"['.gitignore', '.travis.yml', 'CHANGELOG.md', 'CONTRIBUTING.md', 'Gemfile', 'LICENSE', 'README.md', 'Rakefile', 'assets', 'bootstrap-sass.gemspec', 'bower.json', 'composer.json', 'eyeglass-exports.js', 'lib', 'package.json', 'sache.json', 'tasks', 'templates', 'test']"
chrisnappin/aws-templates,"['.gitignore', 'LICENSE', 'README.md', 'basic-loadbalanced-webserver', 'basic-standalone-server', 'basic-standalone-webserver', 'pre-requisites.md', 's3-website', 'using-cloudformation.md']"
xbranca/Lcd3Dot5Digits_Arduino_lib,"['LICENSE', 'Lcd3Dot5Digits', 'README.md']"
Sphilippe7/BostonOutcomes,"['IntroToOutcomes_BOS.pptx', 'README.md']"
MNie/TDDKataFirst,"['.gitignore', 'Kata.Calculator.sln', 'LICENSE', 'README.md', 'src', 'tests']"
oferraro/dd,"['base-api', 'boilerplate-front', 'wireframes']"
HaiNguyen007/openupgradelib,"['.coveragerc', '.editorconfig', '.gitignore', '.travis.yml', 'AUTHORS.rst', 'CONTRIBUTING.rst', 'HISTORY.rst', 'LICENSE', 'MANIFEST.in', 'README.rst', 'docs', 'openupgradelib', 'requirements.txt', 'setup.cfg', 'setup.py', 'tests']"
vladmosko/templates,"['README.md', 'Tree.cpp', 'basicSegmentTree.cpp', 'binaryPower.cpp', 'cavesAndTunnels.cpp', 'convexHullTrickMax.cpp', 'diofantiteEquation.cpp', 'discreteLogarithm.cpp', 'dsu.cpp', 'eulerFunction.cpp', 'extendedGcd.cpp', 'factorialByModulo.cpp', 'findFibonacciNumber.cpp', 'funnySnippets.cpp', 'grayCode.cpp', 'moduloInverse.cpp', 'myExceptions.cpp', 'namespaceAlgebra.cpp', 'sieveOfEratosthenes.cpp']"
johnpark/test,['README.md']
eva123456/technopark-db-api,"['.gitignore', 'README.md', 'conf', 'doc', 'lib', 'requirements.txt', 'tests']"
steve-torchia/jspm-config-auth,"['.appveyor.yml', '.gitattributes', '.gitignore']"
milatest/open-enrollment-classes-introduction-to-github,"['.github', '.gitignore', '.travis.yml', 'ChristianElinisa', 'Gemfile', 'Gemfile.lock', 'README.md', '_config.yml', '_layouts', '_pages', '_pins', 'createMap.topojson', 'extwii_london.topojson', 'index.html', 'render.js', 'script', 'test']"
chenevas/Arduino,"['.gitignore', '.travis.yml', 'ISSUE_TEMPLATE.md', 'LICENSE', 'README.md', 'boards.txt', 'bootloaders', 'cores', 'doc', 'libraries', 'package', 'platform.txt', 'programmers.txt', 'tests', 'tools', 'variants']"
marutinandanpandya/guidelines,['README.md']
alankent/m2-kickstart,"['.gitignore', 'MAC-OSX-SHELL.sh', 'MAC-OSX-START.sh', 'MAC-OSX-STOP.sh', 'README.md', 'WINDOWS-SETTINGS.BAT', 'WINDOWS-SHELL.BAT', 'WINDOWS-START.BAT', 'WINDOWS-STOP.BAT']"
spatialy/Mautic_CRM,"['Assets', 'Config', 'Controller', 'CustomCrmBundle.php', 'Entity', 'EventListener', 'Form', 'Helper', 'LICENSE', 'Model', 'README.md', 'Translations', 'Views']"
mralext20/apex-sigma,"['.ci', '.dockerignore', '.editorconfig', '.flake8', '.gitignore', '.travis.yml', 'AUTHORS', 'COMMANDLIST.md', 'Dockerfile', 'LICENSE', 'Procfile', 'README.md', 'TODO.md', 'config_example.py', 'db', 'docker-compose.yml', 'img', 'requirements.txt', 'run.py', 'runtime.txt', 'scripts', 'scrolls.json', 'sigma', 'storage', 'tests']"
jingyuanChou/Query-Expansion-on-Google-Search,"['DBOutputWritable.java', 'Driver.java', 'LanguageModel.java', 'NGramLibraryBuilder.java', 'README.md']"
j9stuart/hb_lab_sql_project-tracker-py,"['.gitignore', 'hackbright.py', 'hackbright.sql', 'requirements.txt']"
felipeamp/BasicLinearAlgebra,"['.gitignore', 'README.md', 'main.py']"
Pratterino/react-portfolio,"['.gitignore', 'README.md', 'favicons', 'index.html', 'portfolio']"
gocheap/extensions,"['.gitignore', 'Print-PDF-Button', 'README.md', 'bb-examples', 'bb-library', 'bb-locale', 'bb-modules', 'bb-themes']"
francisphan/Workshop4and5,"['.eslintrc', '.gitignore', 'README.md', 'app', 'build', 'package.json', 'webpack.config.js']"
HakanYAZICI/NodeJS-Microblog,"['access.log', 'app.js', 'cluster.js', 'error.log', 'models', 'node_modules', 'package.json', 'public', 'routes', 'settings.js', 'views']"
andrewfishersb/bar-taps,"['.gitignore', 'README.md', 'app', 'bower.json', 'gulpfile.js', 'index.html', 'package.json', 'resources', 'systemjs.config.js', 'tsconfig.json', 'typings.json']"
BrunoCanto/Forunzao,['README.md']
PeopleNet/private_s3_httpd,"['.gitignore', '.travis.yml', 'Dockerfile', 'LICENSE', 'Makefile', 'README.md', 'private_s3_httpd.go', 'proxy.go', 'vendor']"
mpdunning/sdgIOC,"['.gitignore', 'Makefile', 'README', 'RELEASE_NOTES', 'configure', 'iocBoot', 'sdgApp']"
zachharkey/gh2,['README.md']
NR-G/CrisisEye,"['CrisisEyeWebServices', 'Demo', 'ICD.zip', 'README.md', 'SDNProjectDoc.docx', 'project_plan.docx']"
underwnm/Fizzbuzz,"['.gitignore', '.vs', 'Fizzbuzz.sln', 'Fizzbuzz']"
PSquared0/hackbright_sql_lab,"['.gitignore', 'hackbright.py', 'hackbright.sql', 'requirements.txt']"
johanv/mycivibuild,"['.docker', '.gitignore', '.idea', 'README.md', 'docker-compose.yml', 'setup']"
juanbecaria/TrabajoBoot,"['.gitattributes', '.gitignore', 'pom.xml', 'src']"
NelsonBilber/design.patterns.Gof,"['Behavioural Patterns', 'Creational Patterns', 'README.md', 'Structural Patterns', 'compile.txt']"
MaxNevermind/Java-snippets,"['.gitignore', 'README.md', 'pom.xml', 'src']"
alexxloo/CSS3-Modal,"['README.md', 'css', 'index.html']"
nnegri/hackbright-project-tracker-py,"['.gitignore', 'hackbright.py', 'hackbright.sql', 'requirements.txt']"
amejiarosario/protractor-video-reporter,"['.gitignore', '.jshintrc', 'History.md', 'LICENSE', 'index.js', 'lib', 'package.json', 'readme.md']"
razerjon24/ppl,"['.idea', 'application', 'assets', 'bootstrap', 'cache', 'composer.json', 'config', 'contributing.md', 'controllers', 'core', 'credentialPPL', 'helpers', 'hooks', 'images', 'index.html', 'index.php', 'language', 'libraries', 'license.txt', 'logs', 'maintenance.php', 'models', 'readme.rst', 'system', 'third_party', 'user_guide', 'views']"
Gonzalosanto/ProyectoCanTrou,"['.gitignore', 'CanTrou']"
jdenisgiguere/osrm-frontend,"['.eslintignore', '.eslintrc', '.gitignore', 'CNAME', 'LICENSE', 'Makefile', 'README.md', 'bundle.js', 'bundle.js.map', 'bundle.raw.js', 'css', 'debug', 'favicon.ico', 'fonts', 'i18n', 'images', 'index.html', 'package.json', 'src']"
vikram8895963240/vikram,['README.md']
pegapp/spring-security,"['.editorconfig', '.github', '.gitignore', '.travis.yml', 'CODE_OF_CONDUCT.adoc', 'CONTRIBUTING.md', 'README.adoc', 'acl', 'aspects', 'bom', 'build.gradle', 'buildSrc', 'cas', 'class_mapping_from_2.0.x.txt', 'config', 'core', 'crypto', 'data', 'docs', 'etc', 'gradle.properties', 'gradle', 'gradlew', 'gradlew.bat', 'itest', 'ldap', 'license.txt', 'messaging', 'notice.txt', 'openid', 'remoting', 'samples', 'sandbox', 'settings.gradle', 'taglibs', 'test', 'web']"
vladpavlovic/oauth2server,"['composer.json', 'oauth2server.admin.inc', 'oauth2server.drush.inc', 'oauth2server.info', 'oauth2server.install', 'oauth2server.module', 'src']"
Laykou/fiit-vi-2016,"['Gallay_VI_Zadanie_1.pdf', 'Gallay_VI_Zadanie_1.zip', 'crawler.rb', 'kibana_urls.txt', 'query_1.txt', 'query_2.txt', 'query_4.txt', 'query_4_reindex.txt', 'query_5.txt']"
ccctech/pipeline-plugin,"['.idea', 'CHANGES.md', 'COMPATIBILITY.md', 'CONTRIBUTING.md', 'DEVGUIDE.md', 'README.md', 'TUTORIAL.md']"
